title,date,authors,keyword,Unnamed: 4
Influence of Si(100) surface flattening process on nonvolatile memory characteristics of Hf-based MONOS structures,June 2017,Sohya Kudoh,"annealing,hafnium,integrated circuit reliability,interface roughness,MIS devices,random-access storage,silicon,surface treatment",
A simple PECVD SiO<inf>2</inf> OTP memory based PUF for 180nm node for IoT,June 2017,A. Lele,"cryptography,failure analysis,Internet of Things,plasma CVD,PROM,random number generation,semiconductor device breakdown,stochastic processes",
A non-volatile cascadable magneto-electric material implication logic,June 2017,Akhilesh Jaiswal,"Boolean functions,logic design,logic gates",
Machine learning for variability aware statistical device design: The case of perpendicular spin-transfer-torque random access memory,June 2017,Urmimala Roy,"circuit simulation,learning (artificial intelligence),memory architecture,micromagnetics,MRAM devices,regression analysis,support vector machines",
Ionosphere-gradient based filtering approach for precise relative navigation in LEO,June 2017,Flavia Causa,"artificial satellites,filtering theory,Global Positioning System",
Generation of hot electrons in GaN HEMTs under RF Class A and AB PAs,June 2017,Alvaro D. Latorre-Rey,"aluminium compounds,gallium compounds,high electron mobility transistors,hot carriers,III-V semiconductors,Monte Carlo methods,semiconductor device models",
Agent-based power system management ? Concept of grid restoration,September 2016,Przemyslaw Trojan,"optimisation,power grids,power system management,power system reliability,power system restoration",
A high-current InP-channel triple heterojunction tunnel transistor design,June 2017,Pengyu Long,"aluminium compounds,electron traps,gallium arsenide,indium compounds,integrated circuit design,probability,semiconductor heterojunctions,tunnel transistors,VLSI",
Soft error evaluation for InGaAs and Ge complementary FinFETs,June 2017,K. Ni,"elemental semiconductors,germanium,III-V semiconductors,indium compounds,MOSFET,radiation hardening (electronics)",
Suspended ReS<sub>2</sub> FET for improved photocurrent-time response,June 2017,Bablu Mukherjee,"carrier lifetime,field effect transistors,interface states,laser beams,photodetectors,rhenium compounds,sulphur compounds",
Plasmonic enhanced polarization sensitive black phosphorus photodetection device,June 2017,Yexin Deng,"light absorption,light polarisation,photoconductivity,photodetectors,photoemission,plasmonics",
A survey of calibration algorithms for small satellite magnetometers,June 2017,Halil Ersin Soken,"artificial satellites,attitude measurement,calibration,Earth orbit,magnetic field measurement,magnetic sensors,magnetometers,recursive estimation",
Novel fabrication method and structure of single crystal thin film In<inf>0.53</inf>Ga<inf>0.47</inf>As Schottky diodes for potential IR applications,June 2017,Rozana Hussin,"gold,indium compounds,Schottky diodes,semiconductor device manufacture,semiconductor thin films",
Support the work of Earth fault passage indicator in MV grid,September 2016,J��zef Lorenc,"fault currents,power grids,power system faults",
"First report of scaling a normally-off in-situ oxide, GaN interlayer based vertical trench MOSFET (OG-FET)",June 2017,Dong Ji,"gallium compounds,III-V semiconductors,MOSFET,semiconductor device models",
Depletion/enhancement-mode ��-Ga<inf>2</inf>O<inf>3</inf> on insulator field-effect transistors with drain currents exceeding 1.5/1.0 A/mm,June 2017,Hong Zhou,"electron mobility,gallium compounds,MOSFET,power field effect transistors,semiconductor device breakdown,semiconductor doping,thermal conductivity",
Al<inf>0.65</inf>Ga<inf>0.35</inf>N channel high electron mobility transistors on AlN/ sapphire templates,June 2017,Sakib Muhtadi,"aluminium compounds,buffer layers,gallium compounds,high electron mobility transistors,III-V semiconductors,sapphire,wide band gap semiconductors",
Scaling of 4H-SiC p-i-n photodiodes for high temperature applications,June 2017,Shuoben Hou,"high-temperature electronics,image sensors,p-i-n photodiodes,silicon compounds,ultraviolet detectors,wide band gap semiconductors",
An innovative EGSE approach for satellite RF system characterization based on real-time monitoring and space environment oriented analysis,June 2017,V. Centonze,"filtering theory,ground support equipment,satellite telemetry",
Gate structure engineering for enhancement-mode AlGaN/GaN MOSHEMT,June 2017,Han-Yin Liu,"aluminium compounds,gallium compounds,high electron mobility transistors,III-V semiconductors,MIS devices,power electronics,semiconductor device manufacture,wide band gap semiconductors",
Control of low voltage microgrid in autonomous operation mode,September 2016,Micha? Ma?aczek,"distributed power generation,energy storage,gas turbine power stations,photovoltaic power systems,power generation control,voltage-source convertors",
Characterization of ��-Ga<inf>2</inf>O<inf>3</inf> interface and conduction band offset with GaN using a Sol-gel process of deposition,June 2017,Jianyi Gao,"aluminium,conduction bands,gallium compounds,gold,III-V semiconductors,interface states,MOS capacitors,photochemistry,sol-gel processing,wide band gap semiconductors",
Al<inf>0.45</inf>Ga<inf>0.55</inf>N/Al<inf>0.30</inf>Ga<inf>0.70</inf>N high electron mobility transistors with Schottky gates and small subthreshold slope factor,June 2017,Albert G. Baca,"aluminium compounds,electric fields,high electron mobility transistors,Q-factor,wide band gap semiconductors",
Self-aligned contact metallization to AlGaN/GaN heterostructures,June 2017,Derek Johnson,"aluminium compounds,gallium compounds,III-V semiconductors,lithography,metallisation,ohmic contacts,two-dimensional electron gas,wide band gap semiconductors",
Gate tunable 2D WSe<inf>2</inf> Esaki diode by SiNx doping,June 2017,Chin-Sheng Pang,"energy gap,field effect transistors,semiconductor doping,semiconductor heterojunctions,silicon compounds,tungsten compounds,tunnel diodes,tunnel transistors",
A low temperature 0.35��m CMOS technology BSIM3.3 model for space instrumentation: Application to a voltage reference design,June 2017,Laurent Varizat,"application specific integrated circuits,CMOS integrated circuits,cryogenic electronics,integrated circuit design,integrated circuit modelling,integrated circuit testing,low-power electronics,reference circuits,space vehicle electronics",
First InGaAs lateral nanowire MOSFET RF noise measurements and model,June 2017,Lars Ohlsson,"gallium compounds,III-V semiconductors,indium compounds,millimetre wave transistors,MOSFET,nanowires,semiconductor device models,semiconductor device noise,S-parameters,submillimetre wave transistors",
Effectiveness of investigated photovoltaic system,September 2016,Justyna Herlender,photovoltaic power systems,
Ultra thin body InAs MOSFET with raised InAs n<sup>+</sup> S/D by selective MBE,June 2017,Matej Pastorek,"CMOS integrated circuits,III-V semiconductors,indium compounds,molecular beam epitaxial growth,MOSFET",
Nano-indented Ge surfaces by metal-assisted chemical etching (MacEtch) and its application for optoelectronic devices,June 2017,Munho Kim,"crystal structure,etching,germanium,light absorption,nanostructured materials,photodiodes,surface texture",
Edge contacts to multilayer MoS<inf>2</inf> using in situ Ar ion beam,June 2017,Zhihui Cheng,"argon,etching,field effect transistors,ion beams,molybdenum compounds,multilayers,transition metals",
Molecular doping of transition metal dichalcogenides using metal phythalocyanines,June 2017,Suki N. Zhang,"carrier density,charge exchange,semiconductor doping,surface charging,transition metal alloys",
The Thermal Infrared Sensor (TIRS) of the Mars Environmental Dynamics Analyzer (MEDA) instrument onboard Mars 2020,June 2017,Joel P��rez-Izquierdo,"infrared detectors,Mars,planetary atmospheres",
Acoustoelectric amplification of surface acoustic waves on ZnO deposited on AlGaN/GaN Epi,June 2017,Jose A. Bahamonde,"acoustoelectric devices,aluminium compounds,gallium compounds,III-V semiconductors,semiconductor device manufacture,semiconductor device models,surface acoustic wave devices,wide band gap semiconductors,zinc compounds",
Grounding methods in medium voltage networks,September 2016,J��zef Lorenc,"ageing,earthing,power system protection,power system reliability",
Flower-like light distribution inside InGaN-based light-emitting diodes operated in spectral range from violet to red,June 2017,Kwanjae Lee,"gallium compounds,III-V semiconductors,indium compounds,light emitting diodes,optical pumping,phosphors,semiconductor quantum wells,wide band gap semiconductors",
Integration of InGaAs/InP structure above ROIC-CMOS for SWIR imaging,June 2017,Florian Le Goff,"focal planes,gallium arsenide,indium compounds,infrared imaging,photodiodes,readout electronics,wide band gap semiconductors",
Piezoelectric thin films on polyimide substrates for flexible piezoelectric devices,June 2017,Tianning Liu,"elemental semiconductors,flexible electronics,piezoelectric devices,piezoelectric thin films,silicon",
Enhancing breakdown voltage in amorphous zinc tin oxide Schottky diode,June 2017,Youngbae Son,"amorphous semiconductors,Schottky diodes,semiconductor device breakdown,thin film transistors,tin compounds,zinc compounds",
Performance analysis of the MEDA's Thermal InfraRed Sensor (TIRS) on board the Mars 2020,June 2017,Eduardo Sebasti��n,"infrared detectors,Mars,sensitivity analysis,solar radiation",
High temporal & spatial resolution imaging of catastrophic & soft breakdown in self-assembled nanodielectrics (SANDs) films,June 2017,Amr Mohammed,"dielectric thin films,electric breakdown,failure analysis,fault tolerance,nanostructured materials,polymer films,reliability,self-assembly,thermoreflectance",
Utilization of the monitoring system for MV/LV transformers in smart grid application,September 2016,Andrzej Kwapisz,"data acquisition,failure analysis,metering,power distribution faults,power distribution protection,power distribution reliability,power system measurement,power transformers,smart power grids",
High-frequency ZnO schottky diodes for non-contact inductive power transfer in large-area electronics,June 2017,Levent E. Aygun,"flexible electronics,gold,II-VI semiconductors,inductive power transmission,metallisation,reliability,Schottky diodes,thin film devices,wide band gap semiconductors,zinc compounds",
CMOS integrated ZnO thin film bulk acoustic resonator with Si3N4 susceptor layer for improved IR sensitivity,June 2017,Aida R. Colon-Berrios,"acoustic resonators,bulk acoustic wave devices,CMOS integrated circuits,crystal resonators,electronics packaging,infrared detectors,microcavities,micromechanical resonators,microsensors,monolithic integrated circuits,silicon compounds,temperature sensors,thin film sensors,zinc compounds",
Narrow line crystallization of rubrene thin film enhanced by Yb interfacial layer for single crystal OFET application,June 2017,Shun-ichiro Ohmi,"crystallisation,monolayers,organic field effect transistors,organic semiconductors,self-assembly",
Thin film In<inf>0.53</inf>Ga<inf>0.47</inf>As Schottky diodes for rectification and photodetection of 28.3 THz radiations,June 2017,Rozana Hussin,"hot carriers,III-V semiconductors,indium compounds,rectification,Schottky diodes,terahertz wave detectors,terahertz wave imaging,terahertz waves,thin film devices",
A microwave interferometer sensor for ice cloud detection and measurement,June 2017,Buford Randall Jean,"atmospheric techniques,clouds,ice,interferometers,sensors,water,wind tunnels",
Wide-bandgap Gallium Nitride p-channel MISFETs with enhanced performance at high temperature,June 2017,Kazuki Nomoto,"carrier mobility,gallium compounds,III-V semiconductors,MISFET,ohmic contacts,semiconductor doping,wide band gap semiconductors",
DLR-supported distance protection for blackout mitigation,September 2016,?ukasz Staszewski,"decision making,power system reliability,relay protection",
Experimental demonstration of enhanced terahertz coupling to plasmon in ultra-thin membrane AlGaN/GaN HEMT arrays,June 2017,Hugo O. Condori Quispe,"aluminium compounds,gallium compounds,high electron mobility transistors,III-V semiconductors,plasma waves,plasmonics,plasmons,synchronisation,terahertz wave devices,wide band gap semiconductors",
1965?1975: A miracle decade for DRC,June 2017,Jerry M. Woodall,"aluminium compounds,gallium arsenide,germanium,high electron mobility transistors,III-V semiconductors,light emitting diodes,liquid phase epitaxial growth,quantum Hall effect,semiconductor doping,semiconductor quantum wires,silicon",
Your golden age of device research,June 2017,Thomas N Jackson,"bipolar transistors,elemental semiconductors,flexible electronics,gallium arsenide,germanium,III-V semiconductors,junction gate field effect transistors,MOSFET,organic semiconductors,superconducting junction devices",
Wind identification via Kalman filter for aircraft flow angles calibration,June 2017,F. Schettini,"aerodynamics,aerospace components,autonomous aerial vehicles,blades,calibration,Kalman filters,transonic flow,vehicle dynamics",
Functional-based verification for spacecraft SW: The electrical power subsystem,June 2017,Maurizio Zoppi,space vehicle power plants,
The device research conference: 1992?2017 and 2017?2042,June 2017,M. J. W. Rodwell,semiconductor devices,
Model and simulation of electric power exchange development in terms of control and system theory,September 2016,Radoslaw Marlega,"power markets,power system identification,state-space methods",
2D-EFET ? A novel beyond Boltzmann transistor,June 2017,Saptarshi Das,"MOSFET,semiconductor industry",
Negative capacitance transients in metal-ferroelectric Hf<inf>0.5</inf>Zr<inf>0.5</inf>O<inf>2</inf>-Insulator-Semiconductor (MFIS) capacitors,June 2017,P. Sharma,"epitaxial layers,ferroelectric capacitors,hafnium compounds,MIS capacitors,silicon",
MoS<inf>2</inf> negative capacitance FETs with CMOS-compatible hafnium zirconium oxide,June 2017,Felicia A. McGuire,"CMOS integrated circuits,elemental semiconductors,ferroelectric devices,field effect transistors,hafnium compounds,molybdenum compounds,silicon,transition metals,zirconium compounds",
QCM-based sensor for volatile organic compounds characterization,June 2017,Fabrizio Dirri,"absorption,chemical sensors,contamination,desorption,enthalpy,microsensors,organic compounds,quartz crystal microbalances,space vehicles,sublimation,thermal analysis,thermal stability",
Neural-evolutionary modelling of polish electricity power exchange,September 2016,Dariusz Ruci?ski,"evolutionary computation,neural nets,power engineering computing,power markets",
Scaling is over ? What now?,June 2017,Wilfried Haensch,"memory architecture,random-access storage",
Supervised learning in spiking neural networks with MLC PCM synapses,June 2017,S. R. Nandakumar,"learning (artificial intelligence),neural nets,phase change memories",
Fully printed memristors from Cu-SiO<inf>2</inf> core-shell nanowire composites,June 2017,Matthew J. Catenacci,"composite materials,copper,memristors,nanowires,semiconductor device manufacture,semiconductor quantum wires,silicon compounds",
LAGRANGE: An experiment for testing general relativity in the inner solar system,June 2017,Angelo Tartaglia,"electromagnetic pulse,general relativity,gravitation,space vehicles",
Water-based 2D-crystal Inks: From formulation engineering to printed devices,June 2017,Cinzia Casiraghi,"CMOS integrated circuits,conducting polymers,flexible electronics,ink jet printing",
Features of compensation of a reactive power at the transient mode,September 2016,Valery Zhuikov,"power factor,power grids,power system transients,reactive power",
BEOL compatible 2D layered materials as ultra-thin diffusion barriers for Cu interconnect technology,June 2017,Chun-Li Lo,"copper,diffusion barriers,electric resistance,graphene,integrated circuit interconnections,low-k dielectric thin films,VLSI",
Defects in layered vapor-phase grown MOS<inf>2</inf>,June 2017,M. Belete,"dielectric materials,graphene devices,hot electron transistors,molybdenum compounds,monolayers,nanoelectronics,optoelectronic devices,silicon,vapour phase epitaxial growth",
Effect of electron beam irradiation on black phosphorus field effect transistor performance,June 2017,Natasha Goyal,"electron beam effects,field effect transistors",
The relativistic geoid,June 2017,Dennis Philipp,"geodesy,gravity",
"p-Transistors, p-bits and p-circuits for an invertible logic",June 2017,Kerem Yunus Camsari,"Boolean functions,logic circuits,logic design,logic gates,MOSFET circuits",
The best place for connection of wind power farms to electric power system in point of view of transmission and distribution systems operators,September 2016,Micha? Ze?czak,"power distribution economics,power transmission economics,wind power plants",
Three-terminal spintronics devices for CMOS integration,June 2017,Hideo Ohno,"CMOS integrated circuits,cobalt,magnetisation,magnetoelectronics,nickel,platinum compounds,VLSI",
A proposal for a magnetostriction-assisted all-spin logic device,June 2017,Rouhollah Mousavi Iraei,"adders,cascade networks,clocks,magnetisation,magnetoelectronics,magnetostrictive devices,spin valves,thermal noise",
Carbon nanotube transistor technology for extending logic roadmap,June 2017,Shu-Jen Han,"carbon nanotubes,nanoelectronics",
The ARIEL ESA mission on-board metrology,June 2017,Carles Sierra-Roig,aerospace instrumentation,
Scaling challenges of FinFET architecture below 40nm contacted gate pitch,June 2017,A. Razavieh,"electrostatics,MOSFET,semiconductor device models",
Reactive power compensation in a powerful DC drives supply system,September 2016,Yuriy Varetsky,"DC motor drives,industrial power systems,power factor correction,power harmonic filters",
Corrugated channel In<inf>0.8</inf>Ga<inf>0.2</inf>As quantum well transistors for low power logic applications,June 2017,Jeffrey A. Smith,"gallium arsenide,III-V semiconductors,indium compounds,logic circuits,low-power electronics,MOSFET,quantum well devices,semiconductor quantum wells",
"Low-noise staircase, tunneling, and conventional avalanche photodetectors",June 2017,Seth R. Bank,"photodetectors,photomultipliers",
Black phosphorus avalanche photodetector,June 2017,Mahmoud R. M. Atalla,"energy gap,III-V semiconductors,monolayers,phosphorus,photodetectors,transition metals",
Low coherence interferometry-based meter-distance range finder,June 2017,Claudio Pernechele,"distance measurement,light coherence,light interference,light interferometry,object detection,optical tomography",
S-shaped negative differential resistance in III-Nitride blue quantum-well laser diodes grown by plasma-assisted MBE,June 2017,Henryk Turski,"gallium compounds,III-V semiconductors,molecular beam epitaxial growth,negative resistance,quantum well lasers,resonant tunnelling diodes,wide band gap semiconductors",
WLS state estimation in polar and rectangular coordinate systems for power system with phase shifter,September 2016,Tomasz Okon,"least squares approximations,phase shifters,power system simulation,state estimation",
Multilayer silicon nitride-on-silicon photonic platforms for three-dimensional integrated photonic devices and circuits,June 2017,Joyce K. S. Poon,"integrated optics,optical crosstalk,optical multilayers,optical waveguides,silicon compounds,silicon-on-insulator,three-dimensional integrated circuits,VLSI",
Graphene and black phosphorus for infrared optoelectronics,June 2017,Tony Low,"graphene,nanophotonics,optoelectronic devices",
Ab-initio modeling of self-heating in single-layer MoS<inf>2</inf> transistors,June 2017,Christian Stieger,"ab initio calculations,heat sinks,molybdenum compounds,MOSFET,semiconductor device models",
The LARASE research program. State of the art on modelling and measurements of general relativity effects in the field of the Earth: A preliminary measurement of the Lense-Thirring effect,June 2017,David M. Lucchesi,"celestial mechanics,general relativity",
Extracting interface recombination velocities from double-heterojunction solar cell reverse-recovery characteristics,June 2017,Alexander H. Berg,solar cells,
Possibilities of control of reactive power flow in polish power system,September 2016,Tomasz Okon,"load flow control,on load tap changers,reactive power control",
Flash memory TFT based on fully solution processed oxide,June 2017,Sandip Mondai,"flash memories,sol-gel processing,thin film transistors",
Increased blocking voltage in solution processed ZTO HVTFTs through drain offset,June 2017,Christopher Allemang,"amorphous semiconductors,carrier mobility,gallium,power transistors,silicon compounds,thin film transistors,tin,zinc",
Self-aligned ZnO thin-film transistors with 860 MHz f<inf>T</inf> and 2 GHz f<inf>max</inf> for large-area applications,June 2017,Yoni Mehlman,"flexible electronics,II-VI semiconductors,indium compounds,instrumentation amplifiers,microwave oscillators,pulsed laser deposition,sputter deposition,thin film transistors,wide band gap semiconductors,zinc compounds",
Laser illuminated feature position determination and calibration approach for PIXL,June 2017,John Y. Liu,"calibration,cameras,laser beam applications,position measurement",
GaN vertical nanowire and fin power MISFETs,June 2017,Zongyang Hu,"gallium compounds,III-V semiconductors,MISFET,nanowires,power transistors,wide band gap semiconductors",
Loss-of-mains detection by frequency protection functions,September 2016,Daniel Bejmert,"power system protection,relay protection",
Vertical fin Ga<inf>2</inf>O<inf>3</inf> power field-effect transistors with on/off ratio >10<sup>9</sup>,June 2017,Zongyang Hu,"power MOSFET,power semiconductor devices,semiconductor device models",
Development of a counterbalanced pendulum thrust stand for electric propulsion,June 2017,F. Trezzolani,"calibration,displacement measurement,electric propulsion,electromagnetic devices,light interferometers,pendulums",
Three-dimensional plasmonic light concentrators for efficient terahertz generation,June 2017,Nezih Tolga Yardimci,"photoemission,plasmonics,terahertz wave generation,terahertz wave imaging,terahertz waves",
Issues of inertia response and rate of change of frequency in power systems with different penetration of variable speed wind turbines,September 2016,Mykhailo S. Seheda,"power electronics,power grids,synchronous generators,turbogenerators,wind turbines",
High-temperature p-type polarization doped AlGaN cladding for sub-250 nm deep-UV quantum well LEDs by MBE,June 2017,Shyam Bharadwaj,"aluminium compounds,claddings,cryogenic electronics,DNA,gallium compounds,light emitting diodes,magnesium,molecular beam epitaxial growth,semiconductor doping,semiconductor growth,semiconductor quantum wells,wide band gap semiconductors",
Towards electro-optical integration of hybrid III-V on Si lasers into the BEOL of a CMOS technology,June 2017,H. Hahn,"CMOS integrated circuits,elemental semiconductors,III-V semiconductors,integrated optics,silicon",
Terahertz LED based on current injection dual-gate graphene-channel field effect transistors,June 2017,Deepika Yadav,"field effect transistors,graphene devices,light emitting diodes,millimetre wave diodes",
Stereo visual odometry failure recovery using monocular techniques,June 2017,Riccardo Giubilato,"distance measurement,motion measurement,stereo image processing",
Comparison of reactive power compensation methods,September 2016,Bartosz Brusilowicz,"power system stability,reactive power",
Wireless differential pressure measurement for aircraft,June 2017,Juliana P. Leitzke,"aerospace components,aircraft,aircraft instrumentation,Bragg gratings,drag reduction,flow control,Global Positioning System,pressure,pressure measurement,pressure sensors",
The unused power of SW safety&dependability analyses,June 2017,Patricia Rodr��guez-Dapena,"safety-critical software,systems analysis",
Characteristics of the electrical load on the public building,September 2016,Marta B?tkiewicz-Pantu?a,"building management systems,power factor,power supply quality",
Laboratory test of pose determination algorithms for uncooperative spacecraft,June 2017,Roberto Opromolla,"calibration,cameras,image representation,optical radar,pose estimation,radar imaging,space vehicles",
Modeling of the solar panel diesel-generator system stability,September 2016,Julia Yamnenko,"diesel-electric generators,distributed power generation,electric current control,maximum power point trackers,power system stability,smart power grids,solar cell arrays,voltage control",
"Landing on Europa, part 1: Mission proposal",June 2017,Kim R. Fowler,"Jupiter,planetary satellites,space vehicles",
Fault-tolerant control of an induction motor with broken stator electric circuit,September 2016,Mykhaylo Zagirnyak,"fault tolerant control,induction motor drives,machine vector control,magnetic flux,stators,torque control",
"Landing on Europa, part 2: Proposed instruments",June 2017,Kim R. Fowler,"Jupiter,planetary satellites,space vehicles",
The impact of economic conditions on the optimal choice of reactive power compensation systems,September 2016,Kazimierz Herlender,"harmonic distortion,power convertors,power system economics",
"Landing on Europa, part 3: Proposed configuration with provisions for radiation shielding and planetary protection",June 2017,Kim R. Fowler,"entry, descent and landing (spacecraft),Jupiter,planetary atmospheres,planetary satellites,space vehicles",
Distance protection performance under single phase to Earth fault alone and simultaneously with open conductor failure,September 2016,Gabriela Sm?tek,"power overhead lines,power transmission faults,power transmission protection",
Growth of NCCO superconducting ultra-thin films for photon detectors,June 2017,P. Romano,"electric variables measurement,electron beam lithography,high-temperature superconductors,sputter deposition,superconducting devices,superconducting thin films,superconducting transitions,thin film sensors,X-ray diffraction,X-ray lithography",
Matrix analysis of power in 3-phase system,September 2016,Les?aw ?adniak,"matrix algebra,power supply quality,tensors,vectors",
Amplifier characterization using non-CW stimulus,June 2017,Florian Ramian,"amplifiers,amplitude modulation,distortion,integrated circuit testing,phase modulation",
Numerical modelling of ground faults in MV networks for reliable testing of protection algorithms,September 2016,Miros?aw Lukowicz,"current transformers,earthing,numerical analysis,power system faults,power system protection,relay protection",
Error estimation of airborne strapdown inertial navigation system based on neural network,June 2017,Rui Song,"aerospace computing,aerospace navigation,inertial navigation,neural nets",
Concept of rural intelligent grid interactive planning methodology,September 2016,Bart?omiej Arendarski,"power system planning,renewable energy sources,smart power grids",
Flying laser spot thermography for the inspection of aerospace grade Fibre Metal Laminates,June 2017,N. Montinaro,"aerospace materials,glass fibres,infrared imaging,inspection,laminates,nondestructive testing",
Transformer discrete macromodel for simulation in Atp-Emtp Programme,September 2016,Eugeniusz Roso?owski,"EMTP,power system simulation,power transformers",
Artificial neural networks for impact force reconstruction on composite plates,June 2017,Giulia Sarego,"laminates,neural nets,plates (structures),structural engineering,structural panels",
Evaluation of the high speed protection algorithm for series compensated parallel line,September 2016,Piotr Pierz,"power transmission faults,power transmission lines,power transmission protection",
Interaction of lamb waves with the edges of a delamination in CFRP composites,June 2017,Bo Feng,"carbon fibre reinforced composites,condition monitoring,delamination,finite element analysis,plates (structures),signal processing,structural engineering computing,surface acoustic waves",
How small organizations could participate in Space projects,June 2017,Patricia Rodr��guez-Dapena,aerospace engineering,
Ultrasonic non destructive testing on aluminium forged bars,June 2017,A. Bernieri,"aerospace computing,aluminium,bars,cracks,fatigue,signal processing,ultrasonic materials testing",
Qualification tests of optical coatings in space environment,June 2017,Maria G. Pelizzo,"antireflection coatings,optical elements,optical films",
Thermo-mechanical design of a particle analyzer for Mars,June 2017,Diego Scaccabarozzi,"Mars,planetary composition,planetary landers,planetary rovers,space vehicles",
Monocular visual odometry aided by a low resolution time of flight camera,June 2017,Sebastiano Chiodini,"cameras,distance measurement,image resolution",
Development of vacuum metrology technology for aerospace in China,June 2017,Li Detian,vacuum measurement,
The DREAMS experiment flown on the ExoMars 2016 mission for the study of Martian environment during the dust storm season,June 2017,C. Bettanini,"Mars,planetary atmospheres,planetary surfaces",
Vision system for tether tip-mass detection during deployment on high-eccentricity orbit,June 2017,Mattia Mazzucato,"cameras,celestial mechanics,electrodynamics,image sensors,mass measurement,optimisation",
"Atmospheric mars entry and landing investigations & analysis (AMELIA) by ExoMars 2016 Schiaparelli Entry Descent module: The ExoMars entry, descent and landing science",June 2017,F. Ferri,"entry, descent and landing (spacecraft),Mars,planetary atmospheres,planetary surfaces",
Reliability assessment of UAV systems,June 2017,Enrico Petritoli,"autonomous aerial vehicles,failure analysis",
Highly wearable wireless wristband for monitoring pilot cardiac activity and muscle fine movements,June 2017,Luca Maiolo,"body sensor networks,electrocardiography,medical signal processing,muscle,patient monitoring,pressure sensors,skin,strain gauges",
Bounded model checking and abstract interpretation of large C codebases,June 2017,Maurizio Martignano,"program diagnostics,program verification,source code (software)",
Prediction by means hazard rate occurrence is a deeply wrong approach,June 2017,Anna Paggi,"hazards,reliability",
Obsolescence of the MIL-HDBK-217: A critical review,June 2017,Eduardo De Francesco,"military equipment,military standards,reliability",
A new reliability approach for additive layers manufactured components: A preliminary investigation,June 2017,Francesca Nanni,"design engineering,layered manufacturing,machining,rapid prototyping (industrial),reliability",
In-flight verification of attitude control system for a space land-survey telescope by analysis of an image motion at a scanning observation,June 2017,Yevgeny Somov,"artificial satellites,attitude control,image motion analysis,telescopes",
Simulation of a sounding rocket flight's dynamic,June 2017,Filippo Trevisi,"aerospace computing,rockets",
Disturbance rejection in the tracking problem for robot-manipulators,June 2017,Sergey Kochetkov,"active disturbance rejection control,electric actuators,electric drives,feedback,manipulators,sampled data systems,stability,tracking",
Metho ds for signal processing and motion control of ground effect vehicle,June 2017,Alexander Knyazhskiy,"aircraft,attitude control,motion control,signal processing",
Analytical reservation of aircraft measuring systems via disturbances and state observers,June 2017,Sergey A. Kochetkov,"aircraft control,observers,trajectory control",
On-board software architecture in MTG satellite,June 2017,Ralf Wenker,"aerospace computing,aerospace testing,artificial satellites,software architecture",
Spacecraft autonomy modeled via Markov decision process and associative rule-based machine learning,June 2017,Gianni D'Angelo,"decision theory,dynamic programming,learning (artificial intelligence),learning systems,Markov processes,matrix algebra,pattern classification,probability,robust control,space vehicles",
"Twinkle twinkle little DroidDream, How I wonder what you are?",June 2017,Fabio Martinelli,"Android (operating system),embedded systems,formal verification,invasive software,mobile computing",
A novel three-sensors electrostatic measurement setup for charged particles detection,June 2017,T. Addabbo,"aerospace engines,electrostatics,exhaust gases,gas turbines,geometry,lubricating oils",
Condition-based maintenance and Markov modelling for avionics devices,June 2017,Marcantonio Catelani,"avionics,condition monitoring,failure analysis,maintenance engineering,Markov processes,reliability",
Voltage stability under current bias in superconducting microbridges,June 2017,Antonio Leo,"critical current density (superconductivity),flux flow,superconducting microbridges,superconducting particle detectors,superconducting photodetectors,superconducting thin films",
Development of a Multi-project Fan-Out Wafer Level Packaging Platform,May 2017,T. Braun,"ball grid arrays,integrated circuit interconnections,integrated circuit testing,integrated circuits,metallisation,millimetre wave integrated circuits,wafer level packaging",
"SLIM (TM), High Density Wafer Level Fan-Out Package Development with Submicron RDL",May 2017,YoungRae Kim,"integrated circuit interconnections,integrated circuit reliability,network routing,three-dimensional integrated circuits,wafer level packaging",
Development of Novel High Density System Integration Solutions in FOWLP-Complex and Thin Wafer-Level SiP and Wafer-Level 3D Packages,May 2017,Andr�� Cardoso,"integrated circuit interconnections,integrated circuit reliability,integrated circuit testing,system-in-package,three-dimensional integrated circuits,wafer bonding,wafer level packaging",
Fan-Out Chip on Substrate Device Interconnection Reliability Analysis,May 2017,Ying-Chih Lee,"chip-on-board packaging,finite element analysis,moulding,thermal expansion",
Embedded Si Fan Out: A Low Cost Wafer Level Packaging Technology without Molding and De-Bonding Processes,May 2017,Daquan Yu,"ball grid arrays,elemental semiconductors,fine-pitch technology,multilayers,reliability,silicon,thermal expansion,wafer level packaging",
Process Development and Material Characteristics of TSV-Less Interconnection Technology for FOWLP,May 2017,Wen-Wei Shen,"flip-chip devices,integrated circuit bonding,integrated circuit interconnections,moulding,three-dimensional integrated circuits,wafer level packaging",
First Demonstration of Panel Glass Fan-Out (GFO) Packages for High I/O Density and High Frequency Multi-chip Integration,May 2017,Tailong Shi,"integrated circuit bonding,integrated circuit interconnections,integrated circuit reliability,multichip modules,wafer level packaging",
A Cost Effective Via Last TSV Technology Using Molten Solder Filling for Automobile Application,May 2017,Yuki Ohara,"automotive electronics,soldering,three-dimensional integrated circuits,vias",
